"항목코드","분류","항목","판단기준","결과","점검내용","진단대상","진단대상IP","중요도","점검파일"
"D-01","계정 관리","기본 계정의 비밀번호, 정책 등을 변경하여 사용","양호 : 기본 계정의 초기 비밀번호를 변경하거나 잠금설정한 경우 | 취약 : 기본 계정의 초기 비밀번호 를 변경하지 않거나 잠금설정을 하지 않은 경우","양호","기본 비밀번호 보유 계정 없음(모두 변경/제거됨)","DBMS(Oracle)","10.0.152.148","상","dba_users_with_defpwd"
"D-02","계정 관리","데이터베이스의 불필요 계정을 제거하거나, 잠금설정 후 사용","양호 : 계정 정보를 확인하여 불필요한 계정이 없는 경우 | 취약 : 인가되지 않은 계정, 퇴직자 계정, 테스트 계정 등 불필요한 계정이 존재하는 경우","양호","데모/샘플 계정 상태: | MDDATA (LOCKED) | 전체 사용자 계정(수동 검토 — 퇴직/테스트/인가외): | PDBADMIN (OPEN)","DBMS(Oracle)","10.0.152.148","상","dba_users"
"D-03","계정 관리","비밀번호의 사용기간 및 복잡도를 기관의 정책에 맞도록 설정","양호 : 기관 정책에 맞게 비밀번호 사용 기간 및 복잡도 설정이 적용된 경우 | 취약 : 기관 정책에 맞게 비밀번호 사용 기간 및 복잡도 설정이 적용되지 않은 경우","양호","사용 프로파일별 정책(기준 LIFE_TIME<=90일·VERIFY_FUNCTION 설정): | DEFAULT : PASSWORD_LIFE_TIME=90, PASSWORD_VERIFY_FUNCTION=ORA12C_VERIFY_FUNCTION","DBMS(Oracle)","10.0.152.148","상","dba_profiles"
"D-04","계정 관리","데이터베이스 관리자 권한을 꼭 필요한 계정 및 그룹에만 허용","양호 : 관리자 권한이 필요한 계정 및 그룹에만 관리자 권한이 부여된 경우 | 취약 : 관리자 권한이 필요 없는 계정 및 그룹에 관리자 권한이 부여된 경우","양호","현재 관리자권한(DBA Role/SYSDBA) 보유자: | SYS | SYS (SYSDBA) | SYSTEM","DBMS(Oracle)","10.0.152.148","상","dba_role_privs | v$pwfile_users | dba_sys_privs"
"D-05","계정 관리","비밀번호 재사용에 대한 제약 설정","양호 : 비밀번호 재사용 제한 설정을 적용한 경우 | 취약 : 비밀번호 재사용 제한 설정을 적용하지 않은 경우","양호","사용 프로파일별 재사용 제약(기준 REUSE_MAX>=10·REUSE_TIME>=365): | DEFAULT : PASSWORD_REUSE_MAX=10, PASSWORD_REUSE_TIME=365","DBMS(Oracle)","10.0.152.148","중","dba_profiles"
"D-06","계정 관리","DB 사용자 계정을 개별적으로 부여하여 사용","양호 : 사용자별 계정을 사용하고 있는 경우 | 취약 : 공용 계정을 사용하고 있는 경우","양호","사용자 생성 계정: PDBADMIN(OPEN) | 공유/개별 미확인 계정: PDBADMIN","DBMS(Oracle)","10.0.152.148","중","dba_users"
"D-07","계정 관리","root(관리자) 권한으로 서비스 구동 제한","양호 : DBMS가 root 계정 또는 root 권한이 아닌 별도의 계정 및 권한으로 구동되고 있는 경우 | 취약 : DBMS가 root 계정 또는 root 권한으로 구동되고 있는 경우","양호","Oracle 서비스 기동 계정: | OracleJobSchedulerXE [NT SERVICE\OracleJobSchedulerXE] | OracleOraDB21Home1MTSRecoveryService [NT SERVICE\OracleOraDB21Home1MTSRecoveryService] | OracleOraDB21Home1TNSListener [NT SERVICE\OracleOraDB21Home1TNSListener] | OracleServiceXE [NT SERVICE\OracleServiceXE] | OracleVssWriterXE [NT SERVICE\OracleVssWriterXE]","DBMS(Oracle)","10.0.152.148","중","Win32_Service"
"D-08","계정 관리","안전한 암호화 알고리즘 사용","양호 : 해시 알고리즘 SHA-256 이상의 암호화 알고리즘을 사용하고 있는 경우 | 취약 : 해시 알고리즘 SHA-256 미만의 암호화 알고리즘을 사용하고 있는 경우","양호","활성(OPEN) 계정 해시 버전 (약한 해시 기준: 10G): | PDBADMIN (11G 12C) | SYS (11G 12C) | SYSRAC () | SYSTEM (11G 12C)","DBMS(Oracle)","10.0.152.148","상","dba_users.password_versions"
"D-09","계정 관리","일정 횟수의 로그인 실패 시 잠금정책 설정","양호 : 로그인 시도 횟수를 제한하는 값을 설정한 경우 | 취약 : 로그인 시도 횟수를 제한하는 값을 설정하지 않은 경우","양호","사용 프로파일별 로그인 실패 잠금(기준 FAILED_LOGIN_ATTEMPTS<=5회): | DEFAULT : FAILED_LOGIN_ATTEMPTS=5","DBMS(Oracle)","10.0.152.148","중","dba_profiles"
"D-10","접근 관리","원격에서 DB 서버로의 접속 제한","양호 : DB 서버에 지정된 IP주소에서만 접근 가능하도록 제한한 경우 | 취약 : DB 서버에 지정된 IP주소에서만 접근 가능하도록 제한하지 않은 경우","양호","sqlnet.ora: 설정 미흡 | 방화벽 전프로필 활성=True, 1521 인바운드 허용규칙=True, 전체개방=True | 외부통제 신뢰(override): AWS 보안그룹이 외부에서 1521 포트 접근을 제한(인가 IP만 허용) - 점검자 확인","DBMS(Oracle)","10.0.152.148","상","(sqlnet.ora | Windows 방화벽 | 외부통제)"
