"항목코드","분류","항목","판단기준","결과","점검내용","진단대상","진단대상IP","중요도","점검파일"
"WEB-01","계정 관리","Default 관리자 계정명 변경","양호 : 관리자 페이지를 사용하지 않거나, 계정명이 기본 계정명으로 설정되어 있지 않은 경우 | 취약 : 계정명이 기본 계정명으로 설정되어 있거나, 추측하기 쉬운 문자 조합으로 이루어진 계정명을 사용하는 경우","양호","활성 user 계정 없음","WAS(Tomcat)","10.0.128.149","상","/opt/tomcat9/conf/tomcat-users.xml"
"WEB-02","계정 관리","취약한 비밀번호 사용 제한","양호 : 관리자 비밀번호가 암호화되어 있거나, 유추하기 어려운 비밀번호로 설정된 경우 | 취약 : 관리자 비밀번호가 암호화되어 있지 않거나, 유추하기 쉬운 비밀번호로 설정된 경우","양호","활성 user 계정 없음","WAS(Tomcat)","10.0.128.149","상","/opt/tomcat9/conf/tomcat-users.xml"
"WEB-03","계정 관리","비밀번호 파일 권한 관리","양호 : 비밀번호 파일에 권한이 600 이하로 설정된 경우 | 취약 : 비밀번호 파일에 권한이 600 초과로 설정된 경우","양호","-rw------- (600) tomcat:tomcat  /opt/tomcat9/conf/tomcat-users.xml","WAS(Tomcat)","10.0.128.149","상","/opt/tomcat9/conf/tomcat-users.xml"
"WEB-04","서비스 관리","웹 서비스 디렉터리 리스팅 방지 설정","양호 : 디렉터리 리스팅이 설정되지 않은 경우 | 취약 : 디렉터리 리스팅이 설정된 경우","양호","# /opt/tomcat9/conf/web.xml: listings=false | # /srv/bookstore/WEB-INF/web.xml: listings=false","WAS(Tomcat)","10.0.128.149","상","/opt/tomcat9/conf/web.xml / /srv/bookstore/WEB-INF/web.xml"
"WEB-05","서비스 관리","지정하지 않은 CGI/ISAPI 실행 제한","양호 : CGI 스크립트를 사용하지 않거나 CGI 스크립트가 실행 가능한 디렉터리를 제한한 경우 | 취약 : CGI 스크립트를 사용하고 CGI 스크립트가 실행 가능한 디렉터리를 제한하지 않은 경우","양호","활성 CGI 서블릿/매핑 없음 — 주석 제외","WAS(Tomcat)","10.0.128.149","상","/opt/tomcat9/conf/web.xml / /srv/bookstore/WEB-INF/web.xml"
"WEB-06","서비스 관리","웹 서비스 상위 디렉터리 접근 제한 설정","양호 : 상위 디렉터리 접근 기능을 제거한 경우 | 취약 : 상위 디렉터리 접근 기능을 제거하지 않은 경우","양호","allowLinking=true 미설정 — 기본 차단","WAS(Tomcat)","10.0.128.149","상","/opt/tomcat9/conf/context.xml / /opt/tomcat9/conf/server.xml"
"WEB-07","서비스 관리","웹 서비스 경로 내 불필요한 파일 제거","양호 : 기본으로 생성되는 불필요한 파일 및 디렉터리가 존재하지 않을 경우 | 취약 : 기본으로 생성되는 불필요한 파일 및 디렉터리가 존재하는 경우","양호","docs/examples/manager/host-manager 등 없음","WAS(Tomcat)","10.0.128.149","중","/opt/tomcat9/webapps"
"WEB-08","서비스 관리","웹 서비스 파일 업로드 및 다운로드 용량 제한","양호 : 파일 업로드 및 다운로드 용량을 제한한 경우 | 취약 : 파일 업로드 및 다운로드 용량을 제한하지 않은 경우","양호","# /opt/tomcat9/conf/server.xml: maxPostSize=""5242880"" | # /srv/bookstore/WEB-INF/config/action-servlet.xml: <property name=""maxUploadSize"" value=""52428800"" />","WAS(Tomcat)","10.0.128.149","하","/opt/tomcat9/conf/server.xml / /opt/tomcat9/conf/web.xml / /srv/bookstore/WEB-INF/web.xml"
"WEB-09","서비스 관리","웹 서비스 프로세스 권한 제한","양호 : 웹 프로세스(웹 서비스)가 관리자 권한이 부여된 계정이 아닌 운영에 필요한 최소한의 권한을 가진 별도의 계정으로 구동되고 있는 경우 | 취약 : 웹 프로세스(웹 서비스)가 관리자 권한이 부여된 계정으로 구동되고 있는 경우","양호","pid=30255  user=tomcat  svcUser=tomcat | groups=[tomcat]  shell=/sbin/nologin","WAS(Tomcat)","10.0.128.149","상","systemd:tomcat9 / process"
"WEB-10","서비스 관리","불필요한 프록시 설정 제한","양호 : 불필요한 Proxy 설정을 제한한 경우 | 취약 : 불필요한 Proxy 설정을 제한하지 않은 경우","양호","Connector proxyName/proxyPort 설정 없음","WAS(Tomcat)","10.0.128.149","상","/opt/tomcat9/conf/server.xml"
