"항목코드","분류","항목","판단기준","결과","점검내용","진단대상","진단대상IP","중요도","점검파일"
"WEB-01","계정 관리","Default 관리자 계정명 변경","양호 : 관리자 페이지를 사용하지 않거나, 계정명이 기본 계정명으로 설정되어 있지 않은 경우 | 취약 : 계정명이 기본 계정명으로 설정되어 있거나, 추측하기 쉬운 문자 조합으로 이루어진 계정명을 사용하는 경우","N/A","Apache 점검 대상 아님 / 대상: Tomcat·JEUS","Web(Apache)","10.0.14.88","상","-"
"WEB-02","계정 관리","취약한 비밀번호 사용 제한","양호 : 관리자 비밀번호가 암호화되어 있거나, 유추하기 어려운 비밀번호로 설정된 경우 | 취약 : 관리자 비밀번호가 암호화되어 있지 않거나, 유추하기 쉬운 비밀번호로 설정된 경우","N/A","Apache 점검 대상 아님 / 대상: Tomcat·IIS·JEUS","Web(Apache)","10.0.14.88","상","-"
"WEB-03","계정 관리","비밀번호 파일 권한 관리","양호 : 비밀번호 파일에 권한이 600 이하로 설정된 경우 | 취약 : 비밀번호 파일에 권한이 600 초과로 설정된 경우","N/A","Apache 점검 대상 아님 / 대상: Tomcat·IIS·JEUS","Web(Apache)","10.0.14.88","상","-"
"WEB-04","서비스 관리","웹 서비스 디렉터리 리스팅 방지 설정","양호 : 디렉터리 리스팅이 설정되지 않은 경우 | 취약 : 디렉터리 리스팅이 설정된 경우","양호","활성 <Directory>에 Indexes 옵션 없음 — 디렉터리 리스팅 비활성","Web(Apache)","10.0.14.88","상","/etc/apache2/apache2.conf / sites-enabled/*"
"WEB-05","서비스 관리","지정하지 않은 CGI/ISAPI 실행 제한","양호 : CGI 스크립트를 사용하지 않거나 CGI 스크립트가 실행 가능한 디렉터리를 제한한 경우 | 취약 : CGI 스크립트를 사용하고 CGI 스크립트가 실행 가능한 디렉터리를 제한하지 않은 경우","양호","모듈(mods-enabled): 없음 | ScriptAlias: 없음 | ExecCGI: 없음","Web(Apache)","10.0.14.88","상","mods-enabled / /etc/apache2/apache2.conf"
"WEB-06","서비스 관리","웹 서비스 상위 디렉터리 접근 제한 설정","양호 : 상위 디렉터리 접근 기능을 제거한 경우 | 취약 : 상위 디렉터리 접근 기능을 제거하지 않은 경우","취약","# /etc/apache2/apache2.conf | <Directory /> | 	AllowOverride None | <Directory /usr/share> | 	AllowOverride None | <Directory /var/www/> | 	AllowOverride AuthConfig | AuthUserFile/.htpasswd: 없음 (존재:아니오) | 인증지시자(AuthType/Require): 없음","Web(Apache)","10.0.14.88","상","/etc/apache2/apache2.conf / sites-enabled/*"
"WEB-07","서비스 관리","웹 서비스 경로 내 불필요한 파일 제거","양호 : 기본으로 생성되는 불필요한 파일 및 디렉터리가 존재하지 않을 경우 | 취약 : 기본으로 생성되는 불필요한 파일 및 디렉터리가 존재하는 경우","양호","배포본 기본 안내 페이지·apache2-doc 매뉴얼 없음 — Apache 2.4는 htdocs 미사용","Web(Apache)","10.0.14.88","중","/var/www/html"
"WEB-08","서비스 관리","웹 서비스 파일 업로드 및 다운로드 용량 제한","양호 : 파일 업로드 및 다운로드 용량을 제한한 경우 | 취약 : 파일 업로드 및 다운로드 용량을 제한하지 않은 경우","양호","# /etc/apache2/apache2.conf | 	LimitRequestBody 5000000","Web(Apache)","10.0.14.88","하","/etc/apache2/apache2.conf / sites-enabled/*"
"WEB-09","서비스 관리","웹 서비스 프로세스 권한 제한","양호 : 웹 프로세스(웹 서비스)가 관리자 권한이 부여된 계정이 아닌 운영에 필요한 최소한의 권한을 가진 별도의 계정으로 구동되고 있는 경우 | 취약 : 웹 프로세스(웹 서비스)가 관리자 권한이 부여된 계정으로 구동되고 있는 경우","양호","envvars APACHE_RUN_USER=www-data | 실행중 계정=[root www-data] | groups(www-data)=[www-data]","Web(Apache)","10.0.14.88","상","envvars / process"
"WEB-10","서비스 관리","불필요한 프록시 설정 제한","양호 : 불필요한 Proxy 설정을 제한한 경우 | 취약 : 불필요한 Proxy 설정을 제한하지 않은 경우","양호","# /etc/apache2/conf-enabled/zz-error-pages.conf |     ProxyPass ! | # /etc/apache2/sites-enabled/bookstore-admin.conf |     ProxyPass /bookstore/ http://10.0.128.149:9090/bookstore/ |     ProxyPassReverse /bookstore/ http://10.0.128.149:9090/bookstore/ | # /etc/apache2/sites-enabled/bookstore.conf |     ProxyPass        /bookstore/ http://10.0.128.149:8080/bookstore/","Web(Apache)","10.0.14.88","상","sites-enabled/* / /etc/apache2/apache2.conf"
"WEB-11","서비스 관리","웹 서비스 경로 설정","양호 : 웹 서버 경로를 기타 업무와 영역이 분리된 경로로 설정 및 불필요한 경로가 존재하지 않는 경우 | 취약 : 웹 서버 경로를 기타 업무와 영역이 분리되지 않은 경로로 설정하거나 불필요한 경로가 있는 경우","양호","# /etc/apache2/apache2.conf | DocumentRoot ""/var/www/html""","Web(Apache)","10.0.14.88","중","sites-enabled/* / /etc/apache2/apache2.conf"
"WEB-12","서비스 관리","웹 서비스 링크 사용 금지","양호 : 심볼릭 링크, aliases, 바로가기 등의 링크 사용을 허용하지 않는 경우 | 취약 : 심볼릭 링크, aliases, 바로가기 등의 링크 사용을 허용하는 경우","양호","# /etc/apache2/apache2.conf | <Directory /> | 	Options -FollowSymLinks | <Directory /var/www/> | 	Options -FollowSymLinks","Web(Apache)","10.0.14.88","중","/etc/apache2/apache2.conf / sites-enabled/*"
"WEB-13","서비스 관리","웹 서비스 설정 파일 노출 제한","양호 : 일반 사용자의 DB 연결 파일에 대한 접근을 제한하고, 불필요한 스크립트 매핑이 제거된 경우 | 취약 : 일반 사용자의 DB 연결 파일에 대한 접근을 제한하지 않거나, 불필요한 스크립트 매핑이 제거되지 않은 경우","N/A","Apache 점검 대상 아님 / 대상: Tomcat·IIS·JEUS","Web(Apache)","10.0.14.88","상","-"
